2026-02-12T00:20:55.331Z 	 info: AccountDataStore:init() Fallback to default emulator account devstoreaccount1.
2026-02-12T00:20:55.362Z 	 info: AccountDataStore:init() Refresh accounts from environment variable AZURITE_ACCOUNTS with value undefined
2026-02-12T00:20:55.362Z 	 info: AccountDataStore:init() Fallback to default emulator account devstoreaccount1.
2026-02-12T00:20:55.377Z 	 info: QueueGCManager:markSweepLoop() Start new mark and sweep.
2026-02-12T00:20:55.377Z 	 info: QueueGCManger:markSweep() Get all extents.
2026-02-12T00:20:55.377Z 	 info: QueueGCManager:marksweep() Get 0 extents.
2026-02-12T00:20:55.377Z 	 info: QueueGCManager:markSweep() Get referred extents, then remove from allExtents.
2026-02-12T00:20:55.377Z 	 info: QueueGCManager:markSweep() Got referred extents, unreferenced extents count is 0.
2026-02-12T00:20:55.377Z 	 info: QueueGCManager:markSweepLoop() Mark and sweep finished, take 0ms.
2026-02-12T00:20:55.377Z 	 info: QueueGCManager:markSweepLoop() Sleep for 60000
2026-02-12T00:20:55.377Z 	 info: AccountDataStore:init() Refresh accounts from environment variable AZURITE_ACCOUNTS with value undefined
2026-02-12T00:20:55.377Z 	 info: AccountDataStore:init() Fallback to default emulator account devstoreaccount1.
2026-02-12T00:21:55.338Z 	 info: AccountDataStore:init() Refresh accounts from environment variable AZURITE_ACCOUNTS with value undefined
2026-02-12T00:21:55.338Z 	 info: AccountDataStore:init() Fallback to default emulator account devstoreaccount1.
2026-02-12T00:21:55.369Z 	 info: AccountDataStore:init() Refresh accounts from environment variable AZURITE_ACCOUNTS with value undefined
2026-02-12T00:21:55.369Z 	 info: AccountDataStore:init() Fallback to default emulator account devstoreaccount1.
2026-02-12T00:21:55.385Z 	 info: QueueGCManager:markSweepLoop() Start new mark and sweep.
2026-02-12T00:21:55.385Z 	 info: QueueGCManger:markSweep() Get all extents.
2026-02-12T00:21:55.385Z 	 info: QueueGCManager:marksweep() Get 0 extents.
2026-02-12T00:21:55.385Z 	 info: QueueGCManager:markSweep() Get referred extents, then remove from allExtents.
2026-02-12T00:21:55.385Z 	 info: QueueGCManager:markSweep() Got referred extents, unreferenced extents count is 0.
2026-02-12T00:21:55.385Z 	 info: QueueGCManager:markSweepLoop() Mark and sweep finished, take 0ms.
2026-02-12T00:21:55.385Z 	 info: QueueGCManager:markSweepLoop() Sleep for 60000
2026-02-12T00:21:55.385Z 	 info: AccountDataStore:init() Refresh accounts from environment variable AZURITE_ACCOUNTS with value undefined
2026-02-12T00:21:55.385Z 	 info: AccountDataStore:init() Fallback to default emulator account devstoreaccount1.
2026-02-12T00:22:54.612Z 	 error: ErrorMiddleware: Received a MiddlewareError, fill error information to HTTP response
